,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
153,-141184499#0,51547720,51547704,7,highway.secondary,"7981.83,8375.92 7920.29,8343.68 7863.32,8314.61 7835.21,8300.99 7802.76,8285.66 7768.99,8269.46 7761.80,8265.38",257.62,13.89,-141184499#0_0,2,6,6,6
154,-141184499#1,51547725,51547720,7,highway.secondary,"8111.45,8460.13 8076.57,8434.42 8020.28,8398.23 8015.85,8395.90 7993.83,8382.70",157.36,13.89,-141184499#1_0,2,6,6,6
155,-141184499#3,611705194,51547725,7,highway.secondary,"8237.09,8548.28 8211.95,8532.64 8175.30,8507.10 8135.35,8477.96 8123.01,8468.71",155.01,13.89,-141184499#3_0,2,6,6,6
156,-141186608#2,1546911926,1545626702,4,highway.residential,"10613.27,9418.15 10612.34,9412.61 10609.79,9406.06 10595.57,9386.01 10587.77,9374.99 10576.82,9361.10 10549.74,9334.72",116.44,8.33,-141186608#2_0,1,7,7,7
157,-141186611#2,1546911933,1545626718,4,highway.residential,"10473.19,9502.44 10472.63,9496.84 10469.92,9489.99 10459.46,9475.60 10451.94,9465.32 10449.40,9461.85 10447.15,9458.78 10436.37,9446.15 10425.46,9436.49 10414.61,9428.02 10401.86,9420.11",121.35,8.33,-141186611#2_0,1,7,7,7
158,-141192774,275997403,275997402,6,highway.tertiary,"7486.14,6850.64 7486.04,6840.56",21.79,8.33,-141192774_0,1,9,9,9
159,-141192775#1,276039002,1545830018,6,highway.tertiary,"7497.31,6771.08 7499.27,6768.28 7522.69,6734.82 7530.71,6723.95 7534.48,6718.82 7555.52,6692.33 7563.54,6683.08",122.25,8.33,-141192775#1_0,1,9,9,9
160,-141192775#2,275997402,276039002,6,highway.tertiary,"7485.28,6823.79 7484.20,6806.31 7489.15,6790.90 7491.48,6782.16 7493.11,6778.31",60.76,8.33,-141192775#2_0,1,9,9,9
161,-141192776,1545626703,256572374,4,highway.residential,"10362.89,9331.75 10392.69,9310.09 10452.97,9288.84",107.49,8.33,-141192776_0,1,7,7,7
162,-141192777#2,275997402,276042537,4,highway.residential,"7477.79,6829.03 7426.57,6786.59 7395.34,6760.74 7358.58,6730.75 7338.17,6717.13 7320.12,6707.47",218.55,13.89,-141192777#2_0,1,9,9,9
163,-141192778#1,287232249,276009157,4,highway.residential,"7880.90,7291.04 7927.53,7317.41 7984.82,7340.70 7995.40,7345.07 8009.22,7351.13",153.78,8.33,-141192778#1_0,1,9,9,9
164,-141192778#3,cluster_287232210_287232234,287232249,4,highway.residential,"7793.80,7226.68 7805.82,7238.59 7811.74,7244.53 7836.80,7263.15 7855.85,7275.82 7868.45,7283.65",116.37,8.33,-141192778#3_0,1,9,9,9
165,-141192778#5,339668950,cluster_287232210_287232234,4,highway.residential,"7657.89,7093.75 7704.11,7138.93 7735.86,7171.75 7772.94,7206.65",183.14,8.33,-141192778#5_0,1,9,9,9
166,-141192778#8,276006602,339668950,4,highway.residential,"7552.92,6933.08 7556.96,6942.99 7565.47,6964.59 7579.35,6992.58 7587.76,7010.25 7597.24,7026.55 7619.67,7058.25 7642.34,7079.13 7647.48,7083.86",194.22,8.33,-141192778#8_0,1,9,9,9
167,-141192778#9,275997403,276006602,4,highway.residential,"7496.07,6858.40 7502.11,6862.24 7507.27,6867.69 7538.18,6906.06 7546.47,6920.24",95.46,8.33,-141192778#9_0,1,9,9,9
168,-141192780,276043179,276039023,4,highway.residential,"6963.23,6600.18 6975.98,6594.67 6983.68,6593.65 7022.73,6596.38 7047.13,6601.11 7090.38,6609.25 7115.28,6613.34 7134.19,6613.97 7151.64,6612.29 7171.51,6606.11 7204.63,6591.33 7218.65,6585.65 7230.53,6582.65 7244.20,6581.52 7251.15,6582.09",310.07,13.89,-141192780_0,1,9,9,9
169,-141192782,276039017,1545829977,4,highway.residential,"7290.07,6608.29 7359.68,6519.97",122.89,13.89,-141192782_0,1,9,9,9
170,-141192783#0,275998992,276039996,4,highway.residential,"7116.25,6698.70 7137.93,6703.98 7169.96,6702.67 7186.20,6699.07 7233.34,6691.31 7256.21,6689.43 7268.40,6688.87",165.46,13.89,-141192783#0_0,1,9,9,9
171,-141192783#1,276043179,275998992,4,highway.residential,"6962.69,6610.30 6963.39,6611.18 7000.31,6649.52 7009.20,6659.50 7020.58,6667.03 7035.42,6672.91 7074.50,6685.60 7091.21,6689.84 7100.56,6693.40",186.38,13.89,-141192783#1_0,1,9,9,9
